label,Infant Mortality Rate
2021,5.59
2020,5.75
2019,5.9
2018,6.1000000000000005
2017,6.260000000000001
2016,6.420000000000001
2015,6.56
2014,6.73
2013,6.920000000000001
2012,7.109999999999999
2011,7.31
2010,7.490000000000001
2009,7.690000000000001
2008,7.9
2007,8.13
2006,8.36
2005,8.55
2004,8.78
2003,8.98
2002,9.18
2001,9.38
2000,9.56
1999,9.73
1998,9.89
1997,10.030000000000001
1996,10.15
1995,10.240000000000002
1994,10.3
1993,10.36
1992,10.39
1991,10.420000000000002
1990,10.43
1989,10.450000000000001
1988,10.47
1987,10.490000000000002
1986,10.55
1985,10.63
1984,10.740000000000002
1983,10.88
1982,11.06
1981,11.270000000000001
1980,11.530000000000001
1979,11.83
1978,12.200000000000001
1977,12.64
1976,13.130000000000003
1975,13.66
1974,14.200000000000001
1973,14.740000000000002
1972,15.27
1971,15.8
1970,16.290000000000003
1969,16.78
1968,17.25
1967,17.73
1966,18.21
1965,18.7
1964,19.200000000000003
1963,19.71
1962,20.240000000000002
1961,20.790000000000003
1960,21.340000000000003